player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Florian Xhekaj,MTL,L,L,5,0,1,1,-1,7,,,,,,,,,,,,
,Frank Nazar,CHI,R,C,66,15,26,41,-21,26,,,,,,,,,,,,
,Frank Vatrano,ANA,L,R,50,5,4,9,-15,40,,,,,,,,,,,,
,Fraser Minten,BOS,L,C,82,17,18,35,21,20,,,,,,,,,,,,
,Freddy Gaudreau,SEA,R,C,68,7,17,24,-1,11,,,,,,,,,,,,
,Gabe Perreault,NYR,L,R,49,12,15,27,0,10,,,,,,,,,,,,
,Gabriel Landeskog,COL,L,L,60,14,21,35,29,47,,,,,,,,,,,,
,Gabriel Vilardi,WPG,R,C,82,30,39,69,-12,24,,,,,,,,,,,,
,Gage Goncalves,TBL,L,C,74,11,22,33,26,41,,,,,,,,,,,,
,Garnet Hathaway,PHI,R,R,66,1,2,3,-6,59,,,,,,,,,,,,
,Garrett Wilson,PHI,L,L,3,0,0,0,0,5,,,,,,,,,,,,
,Gavin Brindley,COL,R,C,56,6,7,13,2,8,,,,,,,,,,,,
,Georgii Merkulov,BOS,L,C,1,0,0,0,-1,0,,,,,,,,,,,,
,Gustav Forsling,FLA,L,D,80,2,26,28,-5,51,,,,,,,,,,,,
,Gustav Nyquist,WPG,L,R,51,1,11,12,-8,10,,,,,,,,,,,,
,Hampus Lindholm,BOS,L,D,67,5,21,26,3,58,,,,,,,,,,,,
,Harrison Brunicke,PIT,R,D,9,1,0,1,-4,6,,,,,,,,,,,,
,Hayden Hodgson,OTT,R,R,10,0,0,0,-2,11,,,,,,,,,,,,
,Haydn Fleury,WPG,L,D,38,2,2,4,-18,12,,,,,,,,,,,,
,Hendrix Lapierre,WSH,L,C,74,4,12,16,0,31,,,,,,,,,,,,
,Henri Jokiharju,BOS,R,D,41,2,13,15,2,14,,,,,,,,,,,,
,Henry Thrun,TOR,L,D,4,0,0,0,-1,0,,,,,,,,,,,,
,Hugh McGing,STL,L,L,3,1,1,2,0,0,,,,,,,,,,,,
,Hunter Brzustewicz,CGY,R,D,34,2,5,7,0,4,,,,,,,,,,,,
,Hunter Haight,MIN,R,C,9,1,1,2,-5,4,,,,,,,,,,,,
,Hunter McDonald,PHI,L,D,1,0,1,1,3,4,,,,,,,,,,,,
,Hunter Skinner,STL,R,D,1,0,0,0,1,0,,,,,,,,,,,,
,Ian Cole,UTA,L,D,82,3,20,23,16,50,,,,,,,,,,,,
,Ian Moore,ANA,R,D,67,4,8,12,-14,24,,,,,,,,,,,,
,Igor Chernyshov,SJS,R,L,28,9,10,19,2,6,,,,,,,,,,,,
,Ilya Lyubushkin,DAL,R,D,53,1,8,9,1,40,,,,,,,,,,,,
,Ilya Mikheyev,CHI,L,R,77,18,18,36,2,18,,,,,,,,,,,,
,Ilya Protas,WSH,L,L,4,1,3,4,1,2,,,,,,,,,,,,
,Ilya Solovyov,"COL,PIT",L,D,16,1,2,3,-1,6,,,,,,,,,,,,
,Ilya Solovyov,"COL,PIT",L,D,14,0,5,5,1,10,,,,,,,,,,,,
,Isaac Howard,EDM,L,L,29,2,3,5,-6,12,,,,,,,,,,,,
,Isaak Phillips,WPG,L,D,3,0,0,0,0,2,,,,,,,,,,,,
,Isac Lundeström,CBJ,L,C,68,4,8,12,-2,4,,,,,,,,,,,,
,Isaiah George,NYI,L,D,4,0,1,1,1,0,,,,,,,,,,,,
,Isak Rosen,"BUF,WPG",L,R,16,3,4,7,-3,0,,,,,,,,,,,,
,Isak Rosen,"BUF,WPG",L,R,21,3,0,3,-2,0,,,,,,,,,,,,
,Ivan Barbashev,VGK,L,L,82,23,38,61,20,14,,,,,,,,,,,,
,Ivan Demidov,MTL,L,R,82,19,43,62,3,34,,,,,,,,,,,,
,Ivan Ivan,COL,L,C,9,0,1,1,1,2,,,,,,,,,,,,
,Ivan Miroshnichenko,WSH,R,L,13,2,1,3,1,2,,,,,,,,,,,,
,Ivan Provorov,CBJ,L,D,82,9,22,31,14,32,,,,,,,,,,,,
,J.J. Moser,TBL,L,D,79,7,22,29,41,69,,,,,,,,,,,,
,J.T. Compher,DET,R,L,82,11,17,28,-13,27,,,,,,,,,,,,
,J.T. Miller,NYR,L,C,68,17,36,53,-30,33,,,,,,,,,,,,
,Jaccob Slavin,CAR,L,D,39,1,7,8,8,4,,,,,,,,,,,,
,Jack Ahcan,COL,L,D,11,0,2,2,2,2,,,,,,,,,,,,
,Jack Devine,FLA,R,R,6,0,0,0,-3,2,,,,,,,,,,,,
,Jack Drury,COL,L,C,82,10,17,27,15,31,,,,,,,,,,,,
,Jack Eichel,VGK,R,C,74,27,63,90,23,18,,,,,,,,,,,,
,Jack Finley,"TBL,STL",R,C,22,0,2,2,0,17,,,,,,,,,,,,
,Jack Finley,"TBL,STL",R,C,22,2,1,3,2,21,,,,,,,,,,,,
,Jack Hughes,NJD,L,C,61,27,50,77,0,10,,,,,,,,,,,,
,Jack McBain,UTA,L,C,75,9,16,25,11,84,,,,,,,,,,,,
,Jack Quinn,BUF,R,R,82,20,31,51,4,18,,,,,,,,,,,,
,Jack Roslovic,EDM,R,C,69,21,15,36,-9,16,,,,,,,,,,,,
,Jack St. Ivany,PIT,R,D,20,0,7,7,4,6,,,,,,,,,,,,
,Jack Studnicka,FLA,R,C,19,0,0,0,-6,4,,,,,,,,,,,,
,Jackson Blake,CAR,R,R,81,22,31,53,4,40,,,,,,,,,,,,
,Jackson LaCombe,ANA,L,D,82,10,48,58,-2,19,,,,,,,,,,,,
,Jacob Bernard-Docker,DET,R,D,63,1,4,5,0,25,,,,,,,,,,,,
,Jacob Bryson,"BUF,WPG",L,D,15,0,3,3,-8,2,,,,,,,,,,,,
,Jacob Bryson,"BUF,WPG",L,D,35,2,3,5,-1,8,,,,,,,,,,,,
,Jacob Gaucher,PHI,R,C,4,0,0,0,-1,0,,,,,,,,,,,,
,Jacob Melanson,SEA,R,R,36,2,3,5,-9,32,,,,,,,,,,,,
,Jacob Moverare,LAK,L,D,15,0,0,0,-4,0,,,,,,,,,,,,
,Jacob Quillan,TOR,L,C,23,1,2,3,-5,2,,,,,,,,,,,,
,Jacob Trouba,ANA,R,D,81,10,25,35,-1,31,,,,,,,,,,,,
,Jaden Schwartz,SEA,L,L,50,11,15,26,5,8,,,,,,,,,,,,
,Jake Bean,CGY,L,D,16,1,1,2,-7,16,,,,,,,,,,,,
,Jake Christiansen,CBJ,L,D,40,0,3,3,-7,8,,,,,,,,,,,,
,Jake DeBrusk,VAN,L,L,81,23,19,42,-31,12,,,,,,,,,,,,
,Jake Evans,MTL,R,C,68,12,12,24,-8,28,,,,,,,,,,,,
,Jake Guentzel,TBL,L,C,81,38,50,88,13,61,,,,,,,,,,,,
,Jake Livanavage,PIT,--,D,1,0,0,0,-2,0,,,,,,,,,,,,
,Jake McCabe,TOR,L,D,80,5,20,25,3,64,,,,,,,,,,,,
,Jake Middleton,MIN,L,D,75,2,14,16,2,76,,,,,,,,,,,,
,Jake Neighbours,STL,L,L,69,15,21,36,-7,43,,,,,,,,,,,,
,Jake Sanderson,OTT,L,D,67,14,40,54,16,8,,,,,,,,,,,,
,Jake Walman,EDM,L,D,53,8,12,20,-17,10,,,,,,,,,,,,
,Jakob Chychrun,WSH,L,D,80,26,34,60,20,62,,,,,,,,,,,,
,Jakob Pelletier,TBL,L,L,5,0,0,0,-1,0,,,,,,,,,,,,
,Jalen Chatfield,CAR,R,D,72,2,15,17,15,18,,,,,,,,,,,,
,James Hagens,BOS,L,C,2,0,1,1,1,2,,,,,,,,,,,,
,James van Riemsdyk,DET,L,L,72,15,16,31,-17,14,,,,,,,,,,,,
,Jamie Benn,DAL,L,L,60,15,21,36,8,53,,,,,,,,,,,,
,Jamie Drysdale,PHI,R,D,78,8,24,32,-3,33,,,,,,,,,,,,
,Jamie Oleksiak,SEA,L,D,78,5,10,15,9,36,,,,,,,,,,,,
,Jani Nyman,SEA,L,R,28,4,3,7,-5,6,,,,,,,,,,,,
,Jansen Harkins,ANA,L,C,44,3,5,8,-6,28,,,,,,,,,,,,
,Jared Davidson,MTL,L,C,10,0,1,1,-4,10,,,,,,,,,,,,
,Jared McCann,SEA,L,L,52,20,20,40,-7,11,,,,,,,,,,,,
,Jared Spurgeon,MIN,R,D,79,6,16,22,2,14,,,,,,,,,,,,
,Jared Wright,LAK,R,R,23,0,4,4,0,4,,,,,,,,,,,,
,Jaroslav Chmelar,NYR,R,R,28,4,2,6,-2,11,,,,,,,,,,,,
,Jason Dickinson,"CHI,EDM",L,C,47,6,7,13,-7,10,,,,,,,,,,,,
,Jason Dickinson,"CHI,EDM",L,C,17,1,3,4,-3,10,,,,,,,,,,,,
,Jason Polin,COL,R,R,4,0,0,0,1,0,,,,,,,,,,,,
,Jason Robertson,DAL,L,L,82,45,51,96,22,32,,,,,,,,,,,,
,Jason Zucker,BUF,L,L,62,24,21,45,-5,23,,,,,,,,,,,,
,Jaycob Megna,VGK,L,D,4,0,0,0,-5,2,,,,,,,,,,,,
,Jayden Struble,MTL,L,D,59,2,10,12,4,58,,,,,,,,,,,,
,Jean-Gabriel Pageau,NYI,R,C,74,17,18,35,0,4,,,,,,,,,,,,
,Jeff Malott,LAK,L,L,58,3,6,9,-9,55,,,,,,,,,,,,
,Jeff Petry,"FLA,MIN",R,D,58,0,8,8,-10,22,,,,,,,,,,,,
,Jeff Petry,"FLA,MIN",R,D,9,0,1,1,-5,2,,,,,,,,,,,,
,Jeff Skinner,SJS,L,L,32,6,7,13,-8,14,,,,,,,,,,,,
,Jeffrey Viel,"BOS,ANA",L,L,35,3,7,10,-2,49,,,,,,,,,,,,
,Jeffrey Viel,"BOS,ANA",L,L,10,0,0,0,-1,30,,,,,,,,,,,,
,Jeremy Lauzon,VGK,L,D,68,1,12,13,-3,89,,,,,,,,,,,,
,Jesper Boqvist,FLA,L,C,73,4,9,13,-11,16,,,,,,,,,,,,
,Jesper Bratt,NJD,L,L,82,22,49,71,-11,12,,,,,,,,,,,,
,Jesperi Kotkaniemi,CAR,L,C,42,2,7,9,3,8,,,,,,,,,,,,
,Jett Luchanko,PHI,R,C,4,0,0,0,-3,2,,,,,,,,,,,,
,Jimmy Snuggerud,STL,R,R,70,21,30,51,16,18,,,,,,,,,,,,
,Jiri Kulich,BUF,L,C,12,3,2,5,-4,4,,,,,,,,,,,,
,JJ Peterka,UTA,L,R,82,25,22,47,6,28,,,,,,,,,,,,
,Joakim Kemell,NSH,R,R,16,1,2,3,2,0,,,,,,,,,,,,
,Joel Armia,LAK,R,R,67,13,12,25,1,30,,,,,,,,,,,,
,Joel Edmundson,LAK,L,D,82,2,21,23,14,25,,,,,,,,,,,,
,Joel Eriksson Ek,MIN,L,C,70,19,32,51,16,32,,,,,,,,,,,,
,Joel Farabee,CGY,L,L,82,20,18,38,-9,28,,,,,,,,,,,,
,Joel Hanley,CGY,L,D,68,0,7,7,-5,44,,,,,,,,,,,,
,Joel Kiviranta,COL,L,L,51,3,6,9,7,8,,,,,,,,,,,,
,Joel Nystrom,CAR,R,D,38,1,9,10,6,6,,,,,,,,,,,,
,John Beecher,"BOS,CGY",L,C,29,2,4,6,-5,31,,,,,,,,,,,,
,John Beecher,"BOS,CGY",L,C,6,1,0,1,-1,0,,,,,,,,,,,,
,John Carlson,"WSH,ANA",R,D,16,4,10,14,-2,6,,,,,,,,,,,,
,John Carlson,"WSH,ANA",R,D,55,10,36,46,11,26,,,,,,,,,,,,
,John Hayden,SEA,R,C,3,0,0,0,-1,2,,,,,,,,,,,,
,John Klingberg,SJS,R,D,56,10,17,27,-13,24,,,,,,,,,,,,
,John Leonard,DET,L,L,11,2,2,4,-3,0,,,,,,,,,,,,
,John Marino,UTA,R,D,80,4,32,36,42,16,,,,,,,,,,,,
,John Tavares,TOR,L,C,82,31,40,71,-28,28,,,,,,,,,,,,
,Johnathan Kovacevic,NJD,R,D,34,0,8,8,0,38,,,,,,,,,,,,
,Jonah Gadjovich,FLA,L,L,10,0,3,3,2,7,,,,,,,,,,,,
,Jonas Brodin,MIN,L,D,62,4,14,18,19,16,,,,,,,,,,,,
,Jonas Rondbjerg,VGK,L,R,4,0,1,1,-2,0,,,,,,,,,,,,
,Jonas Siegenthaler,NJD,L,D,82,0,16,16,-9,48,,,,,,,,,,,,
,Jonatan Berggren,"DET,STL",L,R,15,2,4,6,-3,6,,,,,,,,,,,,
,Jonatan Berggren,"DET,STL",L,R,36,6,10,16,-2,6,,,,,,,,,,,,
,Jonathan Aspirot,BOS,L,D,61,3,10,13,30,43,,,,,,,,,,,,
,Jonathan Drouin,"NYI,STL",L,L,55,3,18,21,-3,19,,,,,,,,,,,,
,Jonathan Drouin,"NYI,STL",L,L,9,1,2,3,-2,0,,,,,,,,,,,,
,Jonathan Huberdeau,CGY,L,L,50,10,15,25,-9,41,,,,,,,,,,,,
,Jonathan Lekkerimäki,VAN,R,R,13,2,1,3,-3,0,,,,,,,,,,,,
,Jonathan Marchessault,NSH,R,R,62,12,19,31,-18,30,,,,,,,,,,,,
,Jonathan Toews,WPG,L,C,82,11,18,29,-20,38,,,,,,,,,,,,
,Jonny Brodzinski,NYR,R,C,55,6,10,16,-1,12,,,,,,,,,,,,
,Joona Koppanen,PIT,L,L,13,0,1,1,-2,2,,,,,,,,,,,,
,Jordan Eberle,SEA,R,R,80,26,29,55,2,28,,,,,,,,,,,,
,Jordan Greenway,BUF,L,L,40,1,5,6,-10,29,,,,,,,,,,,,
,Jordan Harris,BOS,L,D,8,1,2,3,0,0,,,,,,,,,,,,
,Jordan Kyrou,STL,R,R,72,18,28,46,-5,8,,,,,,,,,,,,
,Jordan Martinook,CAR,L,L,77,12,17,29,6,35,,,,,,,,,,,,
,Jordan Oesterle,NSH,L,D,1,0,0,0,-1,0,,,,,,,,,,,,
,Jordan Spence,OTT,R,D,73,7,24,31,15,22,,,,,,,,,,,,
,Jordan Staal,CAR,L,C,75,20,16,36,5,29,,,,,,,,,,,,
,Jorian Donovan,OTT,L,D,2,0,0,0,0,0,,,,,,,,,,,,
,Joseph LaBate,VAN,L,C,1,0,0,0,-1,0,,,,,,,,,,,,
,Joseph Veleno,MTL,L,C,61,2,3,5,-12,19,,,,,,,,,,,,
,Josh Anderson,MTL,R,R,72,14,9,23,-4,90,,,,,,,,,,,,
,Josh Doan,BUF,R,R,82,25,27,52,-4,25,,,,,,,,,,,,
,Josh Dunne,BUF,L,C,34,1,3,4,-7,38,,,,,,,,,,,,
,Josh Mahura,SEA,L,D,23,1,2,3,8,16,,,,,,,,,,,,
,Josh Manson,COL,R,D,79,5,26,31,42,91,,,,,,,,,,,,
,Josh Morrissey,WPG,L,D,77,14,41,55,6,30,,,,,,,,,,,,
,Josh Norris,BUF,L,C,44,13,21,34,11,28,,,,,,,,,,,,
,Josh Samanski,EDM,L,C,24,2,2,4,2,6,,,,,,,,,,,,
,Joshua Roy,MTL,L,R,3,0,0,0,0,2,,,,,,,,,,,,
,Josiah Slavin,CAR,L,L,2,0,0,0,1,2,,,,,,,,,,,,
,Juho Lammikko,NJD,L,C,24,0,2,2,-4,4,,,,,,,,,,,,
,Juraj Slafkovský,MTL,L,L,82,30,43,73,9,52,,,,,,,,,,,,
,Justin Barron,NSH,R,D,52,0,9,9,-1,17,,,,,,,,,,,,
,Justin Brazeau,PIT,R,R,64,17,17,34,5,14,,,,,,,,,,,,
,Justin Danforth,BUF,R,R,4,0,0,0,-2,2,,,,,,,,,,,,
,Justin Dowling,NYR,L,C,2,0,0,0,-1,0,,,,,,,,,,,,
,Justin Faulk,"STL,DET",R,D,17,5,3,8,-5,10,,,,,,,,,,,,
,Justin Faulk,"STL,DET",R,D,61,11,21,32,-3,32,,,,,,,,,,,,
,Justin Holl,STL,R,D,9,1,1,2,5,6,,,,,,,,,,,,
,Justin Hryckowian,DAL,L,C,81,14,16,30,1,43,,,,,,,,,,,,
,Justin Kirkland,CGY,L,C,20,1,1,2,1,2,,,,,,,,,,,,
,Justin Robidas,CAR,R,C,2,0,1,1,0,0,,,,,,,,,,,,
,Justin Sourdif,WSH,R,C,78,15,20,35,17,35,,,,,,,,,,,,
,Juuso Parssinen,NYR,L,C,20,2,1,3,4,10,,,,,,,,,,,,
,K'Andre Miller,CAR,L,D,72,8,29,37,7,56,,,,,,,,,,,,
,Kaapo Kakko,SEA,L,R,65,13,27,40,14,14,,,,,,,,,,,,
,Kaedan Korczak,VGK,R,D,78,3,13,16,6,26,,,,,,,,,,,,
,Kai Uchacz,VGK,R,C,3,0,0,0,-1,5,,,,,,,,,,,,
,Kaiden Guhle,MTL,L,D,39,2,9,11,5,41,,,,,,,,,,,,
,Kailer Yamamoto,UTA,R,R,59,13,10,23,11,14,,,,,,,,,,,,
,Kasperi Kapanen,EDM,R,R,41,8,9,17,5,14,,,,,,,,,,,,
,Keaton Middleton,COL,L,D,3,0,1,1,-1,4,,,,,,,,,,,,
,Keegan Kolesar,VGK,R,R,82,6,11,17,-14,55,,,,,,,,,,,,
,Kenny Connors,LAK,L,C,2,0,0,0,-1,0,,,,,,,,,,,,
,Kent Johnson,CBJ,L,C,76,7,15,22,-8,20,,,,,,,,,,,,
,Kevin Bahl,CGY,L,D,76,4,14,18,2,47,,,,,,,,,,,,
,Kevin Fiala,LAK,L,L,56,18,22,40,-11,34,,,,,,,,,,,,
,Kevin Gravel,NSH,L,D,1,0,0,0,0,0,,,,,,,,,,,,
,Kevin Hayes,PIT,L,R,28,4,4,8,-1,8,,,,,,,,,,,,
,Kevin Korchinski,CHI,L,D,13,0,2,2,-4,4,,,,,,,,,,,,
,Kevin Rooney,UTA,L,C,1,1,0,1,1,0,,,,,,,,,,,,
,Kevin Stenlund,UTA,R,C,80,4,14,18,-9,24,,,,,,,,,,,,
,Kiefer Sherwood,"VAN,SJS",R,L,44,17,6,23,-12,22,,,,,,,,,,,,
,Kiefer Sherwood,"VAN,SJS",R,L,28,6,7,13,-8,28,,,,,,,,,,,,
,Kirby Dach,MTL,R,C,37,8,7,15,-2,31,,,,,,,,,,,,
,Kirill Kaprizov,MIN,L,L,78,45,44,89,10,28,,,,,,,,,,,,
,Kirill Kudryavtsev,VAN,L,D,3,0,2,2,2,0,,,,,,,,,,,,
,Kirill Marchenko,CBJ,R,R,76,27,40,67,7,32,,,,,,,,,,,,
,Konsta Helenius,BUF,R,C,9,1,3,4,1,0,,,,,,,,,,,,
,Kris Letang,PIT,R,D,74,3,31,34,-4,38,,,,,,,,,,,,
,Kurtis MacDermid,OTT,L,L,19,0,1,1,-5,33,,,,,,,,,,,,
,Kyle Capobianco,DAL,L,D,33,2,3,5,1,8,,,,,,,,,,,,
,Kyle Connor,WPG,L,L,82,39,53,92,-2,16,,,,,,,,,,,,
,Kyle MacLean,NYI,L,C,59,2,5,7,-6,40,,,,,,,,,,,,
,Kyle Palmieri,NYI,R,C,25,6,12,18,-2,8,,,,,,,,,,,,
,Landon Slaggert,CHI,L,L,53,3,4,7,-2,16,,,,,,,,,,,,
,Lane Hutson,MTL,L,D,82,12,66,78,36,34,,,,,,,,,,,,
,Lane Pederson,PHI,R,C,5,0,0,0,0,0,,,,,,,,,,,,
,Lars Eller,OTT,L,C,68,5,10,15,5,12,,,,,,,,,,,,
,Lassi Thomson,OTT,R,D,11,0,3,3,3,0,,,,,,,,,,,,
,Lawson Crouse,UTA,L,L,81,24,20,44,20,46,,,,,,,,,,,,
,Lenni Hameenaho,NJD,R,R,33,2,6,8,-3,14,,,,,,,,,,,,
,Leo Carlsson,ANA,L,C,70,29,38,67,4,33,,,,,,,,,,,,
,Leon Draisaitl,EDM,L,C,65,35,62,97,13,26,,,,,,,,,,,,
,Liam Foudy,NYI,L,C,1,0,0,0,0,0,,,,,,,,,,,,
,Liam O'Brien,UTA,L,C,38,3,1,4,-6,43,,,,,,,,,,,,
,Liam Ohgren,"MIN,VAN",L,L,51,8,10,18,-16,2,,,,,,,,,,,,
,Liam Ohgren,"MIN,VAN",L,L,18,0,0,0,-3,0,,,,,,,,,,,,
,Lian Bichsel,DAL,L,D,50,4,4,8,6,37,,,,,,,,,,,,
,Linus Karlsson,VAN,R,C,79,15,20,35,-28,42,,,,,,,,,,,,
,Logan Cooley,UTA,L,C,54,24,19,43,3,28,,,,,,,,,,,,
,Logan Mailloux,STL,R,D,67,5,8,13,-10,48,,,,,,,,,,,,
,Logan O'Connor,COL,R,R,13,0,2,2,-1,4,,,,,,,,,,,,
,Logan Stankoven,CAR,R,C,81,21,23,44,12,25,,,,,,,,,,,,
,Logan Stanley,"WPG,BUF",L,D,59,9,12,21,-2,99,,,,,,,,,,,,
,Logan Stanley,"WPG,BUF",L,D,17,0,5,5,5,29,,,,,,,,,,,,
,Louis Crevier,CHI,R,D,78,7,18,25,-2,63,,,,,,,,,,,,
,Luca Cagnoni,SJS,L,D,3,0,0,0,0,2,,,,,,,,,,,,
,Luca Del Bel Belluz,CBJ,L,C,14,0,1,1,-2,4,,,,,,,,,,,,
,Luca Pinelli,CBJ,L,C,3,0,0,0,-1,0,,,,,,,,,,,,
,Lucas Raymond,DET,R,L,80,25,51,76,1,22,,,,,,,,,,,,
,Ludvig Jansson,FLA,R,D,4,0,1,1,2,0,,,,,,,,,,,,
,Lukas Reichel,"CHI,VAN,BOS",L,L,14,0,1,1,-5,4,,,,,,,,,,,,
,Lukas Reichel,"CHI,VAN,BOS",L,L,5,2,2,4,1,2,,,,,,,,,,,,
,Lukas Reichel,"CHI,VAN,BOS",L,L,10,1,2,3,2,0,,,,,,,,,,,,
,Luke Evangelista,NSH,R,R,81,12,44,56,1,28,,,,,,,,,,,,
,Luke Glendening,"NJD,PHI",R,C,52,0,4,4,-11,4,,,,,,,,,,,,
,Luke Glendening,"NJD,PHI",R,C,18,2,3,5,4,4,,,,,,,,,,,,
,Luke Haymes,TOR,L,C,4,0,1,1,-2,2,,,,,,,,,,,,
,Luke Hughes,NJD,L,D,68,6,29,35,-4,32,,,,,,,,,,,,
,Luke Kunin,FLA,R,C,62,4,6,10,-6,47,,,,,,,,,,,,
,Luke Schenn,"WPG,BUF",R,D,46,1,6,7,-11,32,,,,,,,,,,,,
,Luke Schenn,"WPG,BUF",R,D,4,0,0,0,-1,11,,,,,,,,,,,,
,Mackenzie MacEachern,VAN,L,L,8,1,3,4,0,12,,,,,,,,,,,,
,MacKenzie Weegar,"CGY,UTA",R,D,60,3,18,21,-35,69,,,,,,,,,,,,
,MacKenzie Weegar,"CGY,UTA",R,D,19,1,6,7,2,19,,,,,,,,,,,,
,Mackie Samoskevich,FLA,R,R,77,12,20,32,-5,30,,,,,,,,,,,,
,Macklin Celebrini,SJS,L,C,82,45,70,115,8,44,,,,,,,,,,,,
,Maksim Tsyplakov,"NYI,NJD",L,R,27,1,1,2,-9,6,,,,,,,,,,,,
,Maksim Tsyplakov,"NYI,NJD",L,R,22,1,1,2,-8,0,,,,,,,,,,,,
,Marat Khusnutdinov,BOS,L,C,77,15,18,33,12,16,,,,,,,,,,,,
,Marc Gatcomb,NYI,R,C,49,3,4,7,-3,10,,,,,,,,,,,,
,Marc McLaughlin,NJD,R,C,7,0,0,0,-2,0,,,,,,,,,,,,
,Marco Kasper,DET,L,C,81,9,10,19,-20,33,,,,,,,,,,,,
,Marco Rossi,"MIN,VAN",L,C,33,8,14,22,-20,8,,,,,,,,,,,,
,Marco Rossi,"MIN,VAN",L,C,17,4,9,13,-6,2,,,,,,,,,,,,
,Marcus Foligno,MIN,L,L,56,8,5,13,-12,67,,,,,,,,,,,,
,Marcus Johansson,MIN,L,L,75,15,34,49,18,12,,,,,,,,,,,,
,Marcus Pettersson,VAN,L,D,82,3,15,18,-19,60,,,,,,,,,,,,
,Marek Alscher,FLA,L,D,4,0,3,3,4,0,,,,,,,,,,,,
,Mario Ferraro,SJS,L,D,82,7,16,23,-1,35,,,,,,,,,,,,
,Mark Jankowski,CAR,L,L,68,11,10,21,7,16,,,,,,,,,,,,
,Mark Kastelic,BOS,R,C,82,12,10,22,6,140,,,,,,,,,,,,
,Mark Scheifele,WPG,R,C,82,36,67,103,0,43,,,,,,,,,,,,
,Mark Stone,VGK,R,R,60,28,45,73,26,9,,,,,,,,,,,,
,Marshall Rifai,TOR,L,D,1,0,0,0,0,0,,,,,,,,,,,,
,Marshall Warren,NYI,L,D,8,0,3,3,0,4,,,,,,,,,,,,
,Martin Fehervary,WSH,L,D,81,5,22,27,15,39,,,,,,,,,,,,
,Martin Necas,COL,R,C,78,38,62,100,47,30,,,,,,,,,,,,
,Martin Pospisil,CGY,L,C,22,1,2,3,-4,17,,,,,,,,,,,,
,Mason Appleton,DET,R,C,65,6,8,14,-4,44,,,,,,,,,,,,
,Mason Geertsen,BUF,L,L,5,0,0,0,-1,12,,,,,,,,,,,,
,Mason Lohrei,BOS,L,D,73,7,19,26,17,20,,,,,,,,,,,,
,Mason Marchment,"SEA,CBJ",L,L,29,4,9,13,-4,26,,,,,,,,,,,,
,Mason Marchment,"SEA,CBJ",L,L,39,15,17,32,21,30,,,,,,,,,,,,
,Mason McTavish,ANA,L,C,75,17,24,41,-15,42,,,,,,,,,,,,
,Matej Blümel,BOS,L,R,4,0,0,0,-3,0,,,,,,,,,,,,
,Mathew Barzal,NYI,R,C,81,19,53,72,10,61,,,,,,,,,,,,
,Mathew Dumba,PIT,R,D,11,1,2,3,-5,11,,,,,,,,,,,,
,Mathieu Joseph,"STL,LAK",L,R,39,2,9,11,-5,4,,,,,,,,,,,,
,Mathieu Joseph,"STL,LAK",L,R,12,0,0,0,-2,5,,,,,,,,,,,,
,Mathieu Olivier,CBJ,R,R,61,15,11,26,13,101,,,,,,,,,,,,
,Matias Maccelli,TOR,L,L,71,14,25,39,-23,16,,,,,,,,,,,,
,Mats Zuccarello,MIN,L,R,59,15,39,54,-5,20,,,,,,,,,,,,
,Matt Boldy,MIN,L,L,76,42,43,85,18,30,,,,,,,,,,,,
,Matt Coronato,CGY,R,R,80,18,27,45,-29,32,,,,,,,,,,,,
,Matt Duchene,DAL,L,C,57,16,29,45,-3,8,,,,,,,,,,,,
,Matt Grzelcyk,CHI,L,D,69,0,12,12,-9,32,,,,,,,,,,,,
,Matt Kiersted,MIN,L,D,6,0,1,1,0,0,,,,,,,,,,,,
,Matt Luff,STL,R,R,5,1,0,1,-2,0,,,,,,,,,,,,
,Matt Rempe,NYR,R,C,26,1,0,1,-4,11,,,,,,,,,,,,
,Matt Roy,WSH,R,D,79,2,17,19,18,12,,,,,,,,,,,,
,Matt Savoie,EDM,R,C,82,18,19,37,6,24,,,,,,,,,,,,
,Matthew Benning,TOR,R,D,1,0,0,0,0,0,,,,,,,,,,,,
,Matthew Kessel,STL,R,D,29,2,1,3,1,10,,,,,,,,,,,,
,Matthew Knies,TOR,L,L,79,23,43,66,-30,29,,,,,,,,,,,,
,Matthew Poitras,BOS,R,C,3,1,0,1,1,4,,,,,,,,,,,,
,Matthew Robertson,NYR,L,D,72,6,12,18,-1,38,,,,,,,,,,,,
,Matthew Schaefer,NYI,L,D,82,23,36,59,13,38,,,,,,,,,,,,
,Matthew Tkachuk,FLA,L,L,31,13,21,34,-6,48,,,,,,,,,,,,
,Matthew Wood,NSH,R,R,71,17,13,30,-3,14,,,,,,,,,,,,
,Mattias Ekholm,EDM,L,D,82,6,35,41,32,30,,,,,,,,,,,,
,Mattias Janmark,EDM,L,C,43,1,7,8,-8,22,,,,,,,,,,,,
,Mattias Samuelsson,BUF,L,D,78,13,28,41,41,28,,,,,,,,,,,,
,Matty Beniers,SEA,L,C,82,20,30,50,-8,23,,,,,,,,,,,,
,Matvei Gridin,CGY,L,R,37,6,14,20,-14,2,,,,,,,,,,,,
,Matvei Michkov,PHI,L,R,81,20,31,51,0,71,,,,,,,,,,,,
