player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Artemi Panarin,"NYR,LAK",R,L,52,19,38,57,-16,14,,,,,,,,,,,,
,Artemi Panarin,"NYR,LAK",R,L,26,9,18,27,9,6,,,,,,,,,,,,
,Arthur Kaliyev,OTT,L,R,2,0,1,1,0,0,,,,,,,,,,,,
,Arttu Hyry,DAL,R,R,20,3,2,5,1,2,,,,,,,,,,,,
,Artturi Lehkonen,COL,L,L,70,21,27,48,32,16,,,,,,,,,,,,
,Artyom Levshunov,CHI,R,D,68,2,22,24,-41,44,,,,,,,,,,,,
,Auston Matthews,TOR,L,C,60,27,26,53,-4,18,,,,,,,,,,,,
,Avery Hayes,PIT,R,R,16,5,0,5,-4,12,,,,,,,,,,,,
,Axel Sandin-Pellikka,DET,R,D,68,7,14,21,-20,18,,,,,,,,,,,,
,Aydar Suniev,CGY,L,L,6,0,1,1,0,2,,,,,,,,,,,,
,Barclay Goodrow,SJS,L,C,82,5,7,12,-18,73,,,,,,,,,,,,
,Barrett Hayton,UTA,L,C,67,10,15,25,3,54,,,,,,,,,,,,
,Beck Malenstyn,BUF,L,L,81,7,7,14,0,38,,,,,,,,,,,,
,Beckett Sennecke,ANA,R,R,82,23,37,60,-12,62,,,,,,,,,,,,
,Ben Chiarot,DET,L,D,82,5,10,15,-9,75,,,,,,,,,,,,
,Ben Hutton,VGK,L,D,55,6,9,15,2,19,,,,,,,,,,,,
,Ben Jones,MIN,L,C,28,1,2,3,-10,0,,,,,,,,,,,,
,Ben Kindel,PIT,R,C,77,17,18,35,-5,18,,,,,,,,,,,,
,Ben Meyers,SEA,L,C,52,7,8,15,-12,16,,,,,,,,,,,,
,Berkly Catton,SEA,L,C,66,7,10,17,-8,31,,,,,,,,,,,,
,Blake Coleman,CGY,L,L,69,20,15,35,12,49,,,,,,,,,,,,
,Blake Lizotte,PIT,L,C,55,7,12,19,6,25,,,,,,,,,,,,
,Bo Groulx,TOR,L,C,13,3,2,5,4,0,,,,,,,,,,,,
,Bo Horvat,NYI,L,C,68,31,26,57,8,40,,,,,,,,,,,,
,Bobby Brink,"PHI,MIN",R,R,55,13,13,26,-5,20,,,,,,,,,,,,
,Bobby Brink,"PHI,MIN",R,R,13,2,2,4,-2,4,,,,,,,,,,,,
,Bobby McMann,"TOR,SEA",L,C,60,19,13,32,-3,40,,,,,,,,,,,,
,Bobby McMann,"TOR,SEA",L,C,18,10,4,14,0,2,,,,,,,,,,,,
,Bogdan Trineyev,WSH,R,R,2,0,0,0,0,0,,,,,,,,,,,,
,Bokondji Imama,PIT,L,L,2,0,0,0,0,5,,,,,,,,,,,,
,Boone Jenner,CBJ,L,C,67,13,25,38,3,44,,,,,,,,,,,,
,Boris Katchouk,TBL,L,L,3,0,0,0,0,0,,,,,,,,,,,,
,Bowen Byram,BUF,L,D,82,11,31,42,15,48,,,,,,,,,,,,
,Brad Lambert,WPG,R,C,25,3,3,6,-5,6,,,,,,,,,,,,
,Brad Marchand,FLA,L,L,52,27,27,54,-16,38,,,,,,,,,,,,
,Braden Schneider,NYR,R,D,82,2,16,18,-5,26,,,,,,,,,,,,
,Bradly Nadeau,CAR,R,L,12,3,0,3,1,2,,,,,,,,,,,,
,Brady Martin,NSH,R,C,3,0,1,1,0,0,,,,,,,,,,,,
,Brady Skjei,NSH,L,D,82,3,23,26,-7,40,,,,,,,,,,,,
,Brady Tkachuk,OTT,L,L,60,22,37,59,4,71,,,,,,,,,,,,
,Braeden Bowman,VGK,R,R,54,8,18,26,-16,12,,,,,,,,,,,,
,Braeden Cootes,VAN,R,C,3,0,0,0,-2,0,,,,,,,,,,,,
,Brandon Carlo,TOR,R,D,55,0,7,7,4,37,,,,,,,,,,,,
,Brandon Duhaime,WSH,L,L,82,4,5,9,-2,78,,,,,,,,,,,,
,Brandon Hagel,TBL,L,L,71,36,38,74,34,58,,,,,,,,,,,,
,Brandon Montour,SEA,R,D,64,11,21,32,-21,45,,,,,,,,,,,,
,Brandon Saad,VGK,L,L,49,3,6,9,-7,14,,,,,,,,,,,,
,Brandon Tanev,UTA,L,L,56,0,3,3,-15,50,,,,,,,,,,,,
,Brandt Clarke,LAK,R,D,82,8,32,40,11,63,,,,,,,,,,,,
,Brayden McNabb,VGK,L,D,63,5,7,12,2,26,,,,,,,,,,,,
,Brayden Pachal,CGY,R,D,39,1,6,7,-1,47,,,,,,,,,,,,
,Brayden Point,TBL,R,C,63,18,32,50,12,14,,,,,,,,,,,,
,Brayden Schenn,"STL,NYI",L,C,61,12,16,28,-23,49,,,,,,,,,,,,
,Brayden Schenn,"STL,NYI",L,C,19,6,5,11,-5,19,,,,,,,,,,,,
,Brayden Yager,WPG,R,C,3,0,0,0,0,2,,,,,,,,,,,,
,Brendan Brisson,NYR,L,C,3,0,1,1,-1,0,,,,,,,,,,,,
,Brendan Gallagher,MTL,R,R,77,7,16,23,0,39,,,,,,,,,,,,
,Brendan Gaunce,CBJ,L,C,25,2,4,6,-1,12,,,,,,,,,,,,
